,ID,Is_Lead
391,NRGYTYZJ,0
392,UZNABWAT,0
393,CVP3VZN5,0
394,JEAYZXKC,0
395,87LFEVTZ,0
396,N7ZEJ2CQ,0
397,AQT3ADAP,0
398,WC8ROKF8,0
399,D9HWEXEV,0
400,MMHWGZCN,0
401,YKCAQFHU,0
402,NDPFBA9X,1
403,3T6C7AEA,0
404,GZWB38J9,0
405,OFTXYNYQ,0
406,QYZQIXBJ,1
407,N7PJT5HO,0
408,JP2PNX9X,0
409,N3FUZDIH,0
410,UXKAVBLS,0
411,G24JWDKS,0
412,HQOKKQVX,0
413,HTXFVZZG,0
414,3TJKVA4J,0
415,CRGS7FPX,0
416,BTRJTMR3,0
417,ERLPQML7,0
418,9FDFXYAW,1
419,MEEKFDZZ,0
420,ZGY8ETLW,0
421,AXVUJHT9,0
422,35ILRW7D,1
423,DR2U5JQX,0
424,WHZ7CEY6,0
425,UCPMS2KF,0
426,HB6MJHDN,0
427,7NWFPJ2X,0
428,4QXD6K4K,0
429,D6H3RTAZ,0
430,L67WSXUY,0
431,IXHVY78L,0
432,H6KE88O6,1
433,EAPKN7G8,1
434,GQXJSFJE,0
435,BVHSRABV,0
436,DUY76GFX,0
437,O7H9KPSD,1
438,6EDBA5AN,0
439,V24CAXFM,0
440,SERPSAWP,0
441,H47QYY5K,0
442,5TYQNFPE,1
443,HGDB7KMR,1
444,DWH8Q2S3,0
445,USNBQZAK,0
446,I89VR4AB,0
447,ATZVVXWJ,1
448,HOKP6ZTS,0
449,ZDKT2SSW,0
450,DK5HJYQE,0
451,ABKW7FGW,0
452,BCSW3W7T,0
453,6T4VNEWD,1
454,XBALBNYB,1
455,NWMJR3W5,0
456,Q5BJ4ULE,0
457,DOFSPEWD,1
458,ANX8FUBJ,0
459,KPR67SVO,0
460,44EV7IJE,0
461,VZEK4IOK,1
462,CZMKWRQN,0
463,VGQUQLXT,0
464,MS6GASNJ,0
465,4ENG9TKV,1
466,UHRRWLGR,0
467,APFSHZYP,0
468,M7MURWXC,1
469,3EOATQBT,0
470,MDZG7EZX,0
471,QZ6LSSTB,0
472,Y7EEZYYS,1
473,RYKLU6HL,0
474,CWQ8OAQ8,0
475,WSFUNE28,1
476,9PFQKPRB,0
477,MCLXWKBC,0
478,NWDXDZEN,0
479,EBLDBRDR,0
480,CJRW5JYT,1
481,CMMKRNUZ,0
482,EATPTPY3,0
483,J5AGUF6Q,0
484,8WYO2BBG,1
485,9EPXIMZB,0
486,UZERUG9W,0
487,QEQ79QUC,0
488,ZNHVE7QZ,0
489,PU3J43GY,1
490,HWDBXAUK,0
491,W74BHIAD,0
492,MGLDAPOA,0
493,BYFCPDX5,0
494,S2QDUDEJ,1
495,HBYRWBWL,0
496,8CIAWHWZ,1
497,ZFYFFXT5,0
498,UGIADHRB,0
499,JDDGRBSU,0
500,NBS2LTYW,0
501,DBKM3FRW,0
502,GLBHRXKB,0
503,9WDPTNCN,0
504,NVVVFQ9U,1
505,6AT635HW,0
506,HPHDI6NN,0
507,CPNAGJ95,0
508,FY6AFNCK,1
509,KWQAVZOE,1
510,HGBDE3LM,1
511,SYKEB6EV,0
512,9BROJWWS,1
513,CG8DGVAV,0
514,H7MT8CNK,0
515,GJVVWNKN,1
516,FXWTMJDG,0
517,OSNGFACM,0
518,PBFT55CF,1
519,4P8GFHSL,0
520,9ZZ4F4XF,1
521,CN4YERMU,1
522,8TUDLTWK,0
523,USFZPY7Z,0
524,VBJXREA8,0
525,9LBNXHQ2,0
526,PY6HCDWF,0
527,9VJMJR6X,0
528,4GAEJIQO,0
529,F34SD6YQ,0
530,HZ3BZVH6,0
531,9WVBAWEY,0
532,BPNYRSEH,0
533,7OGHEHO3,0
534,LRJZMHFT,0
535,PCHQW72T,1
536,BFJQGRFT,1
537,UVJ6UYBF,0
538,LRVO7MCH,0
539,EAOF4EYO,1
540,5HPCBEQQ,1
541,8FJBKABE,0
542,27J5UDAU,0
543,4MAT9RSM,1
544,SBDGZSY9,1
545,HPYN9M2Z,0
546,G7D2BESM,1
547,TWN7YQPN,0
548,BJRGMNFZ,0
549,9HFPJV3S,0
550,6WKJAUAG,0
551,BZUANVCU,0
552,NYWLDSFZ,1
553,LTW8JGAZ,0
554,IMDQJUTW,0
555,AVHZRCH8,0
556,LTSDWAVT,0
557,9WVKLADB,1
558,GXDSQJS2,0
559,4IHXKUNA,1
560,BTYDUQPC,0
561,BKCNFM72,0
562,UMVSSZ9N,0
563,N2STVKOI,0
564,ZZJQB3EY,1
565,FZJK9GH7,0
566,NTIWWNVB,0
567,NBCRWUBE,0
568,UBPYOBYG,0
569,K8RKMGVW,1
570,HFTH3NC2,0
571,759LCPDE,0
572,DYKME2AY,1
573,VZHURNZD,0
574,EAJJBYHU,1
575,T97TKZNT,1
576,IXOEQ2YD,1
577,BWKXTBCF,0
578,DNKPRVB3,0
579,JQCF2PXG,0
580,GIABLCP4,0
581,FDIC7S35,1
582,5RTNFJEV,0
583,OBZ4CU77,0
584,XMVX6WEB,0
585,MHARJGPA,0
586,2QI5GPDU,1
587,AE2NBAJ3,0
588,MDLANJZG,0
589,7TAP99MA,0
590,A6AMKR2Z,0
591,DX69CFXV,0
592,HKCKEKV4,0
593,CBNWXPJJ,0
594,Z3SJXFCA,0
595,RHTCABWR,1
596,ILGMVREG,0
597,BZK32SSP,0
598,25RR4UGE,0
599,9ZQFVNWY,0
600,FFSTFCAA,0
601,MBEDAX9Z,0
602,IYERPTUY,0
603,SBNMNBJE,0
604,CPWDDHBP,1
605,EN5EXSVB,0
606,EFT7687S,0
607,DUPIVFIW,0
608,HTVBHNFH,0
609,GFTV6AXH,0
610,NTNK2ZYN,0
611,NZ2MDLPM,0
612,UU4ECFQ5,1
613,FFWGNGVJ,0
614,JDQIBLRI,0
615,ZAWUVVWA,0
616,FC24V4XD,0
617,EKTZZYA2,0
618,RVRMHDD8,0
619,3RASGR5Y,0
620,QRBESHHG,0
621,MXYLFHSV,0
622,TY85POPR,0
623,BHXO9INE,0
624,S2RKLYZH,1
625,98GUQS9R,1
626,6VD8FK4Y,0
627,FMUHBZHQ,0
628,IHQY3US8,1
629,VDSNW6DR,0
630,JF8E8TCY,0
631,EKVBDN5B,0
632,LJOYHFHT,0
633,8WBDXKKG,1
634,LNAASJ6O,0
635,HGTW39J8,0
636,AMYH3YSJ,0
637,QZRPEWE6,0
638,9RBSJHBJ,0
639,EFZ3ADG9,0
640,CMQX6K9J,0
641,DBVXEJCR,0
642,PLYKWBFR,0
643,7QNURUDE,0
644,M8TD2YPV,0
645,JVJZVKUJ,1
646,XVUVCSM8,1
647,C9CMNJEH,0
648,IQLV6HTY,0
649,ELG7YZUM,0
650,PU9KWVOH,1
651,HAYJGRRV,0
652,KBKUHSLA,0
653,USL6KBDY,0
654,ZGLCSKTI,0
655,9JQWNRGA,0
656,EBVUVT88,0
657,9ZU5GNSK,0
658,EC7NIRSV,0
659,JJ23TDTX,0
660,IZWY5RYD,0
661,TSYCNH93,0
662,QSY6Q77W,0
663,TOBSGQ3J,0
664,FKGE6YRE,1
665,MGAYPPJE,0
666,IJRFUH6V,0
667,KX9Y3LCV,0
668,2ZDDJYHE,1
669,NBMLMYQE,0
670,E8XWCECR,0
671,5FP4HKBU,0
672,FUKFFD3F,0
673,8BDSMQUY,0
674,39T7KUFC,0
675,HZSPWI2U,1
676,LEJJKOWC,0
677,DR5F2HVS,1
678,BJA5TRWJ,1
679,NCVH9WFE,0
680,ME3XYUC5,1
681,VLCHSDHG,0
682,59CV3HQQ,0
683,JTAEBBQM,0
684,OBHDYLE2,0
685,EUEGA65T,0
686,MO9XWHWE,0
687,K3JSVGHE,0
688,JFHAQZQM,0
689,22IQJE4I,1
690,F57YH86H,0
691,BPNYWIPI,0
692,FJB78783,0
693,DIVE6ZUL,0
694,YACVPC9M,1
695,A3FM9UVE,0
696,9NE6ZC2Q,0
697,4NHTDBJN,0
698,3FH863BT,0
699,3UBBVIGN,1
700,NNP9TLV2,1
701,SA7VUUTE,0
702,ROG7ONJG,1
703,ICEBXJHF,0
704,HFTYHFAZ,0
705,EC5IQBEK,0
706,VQPXGNJV,0
707,BNE8WOYV,1
708,MKEXSYJN,0
709,B2MY2KQE,0
710,GZVND3WE,1
711,JZ8ASRBZ,1
712,UMQWVVHH,1
713,MDGISGP7,0
714,JMVHKVGP,0
715,G5GPWASE,1
716,A9H3PMBD,0
717,DKEMLQCU,1
718,VVPNRFRF,1
719,AVIBMJNL,0
720,3FNEIWTQ,0
721,WMQIVFIH,0
722,GUSEEXX5,1
723,HZBZ7QMH,0
724,KMTZWEXS,0
725,62AXBXBL,0
726,FW6GESXM,0
727,A67RATVB,0
728,HUWJHKEG,0
729,KCHF33KH,0
730,CJUKTB4B,0
731,FA8NWHGK,0
732,6UZE4NSH,1
733,4UUZBMXW,0
734,QMRXRYDB,0
735,M3A5BVAC,1
736,II63YKTB,0
737,4OYB27TY,0
738,IEN9X6H8,0
739,U9VVATUM,0
740,SFOYCMRR,1
741,O7WYJHA5,0
742,STEKRYHT,0
743,QSX9J6OF,1
744,EVT46GYN,0
745,IQHUPR8Z,0
746,98WUTF8M,0
747,5JUSHPUM,0
748,9FMK8FZU,0
749,WPWW4JUN,1
750,8QUXAAHS,0
751,EU8RGIP7,0
752,BFT7ZJQO,0
753,4EQAO8W3,1
754,F3RWQSVQ,0
755,FUA3S84W,0
756,G9WITTNH,0
757,TE4CM6N8,1
758,L93TY7Q6,0
759,MK46HOFS,0
760,NSUSAJ7C,0
761,ZQXJP6PH,0
762,YX6PNVKN,0
763,7V7IJDSU,1
764,BSDHE7F2,0
765,DV5EXZEZ,1
766,VDKS85PW,1
767,4W48SFHV,1
768,ANGVCUXZ,0
769,IOST7D8C,1
770,HAQAECZX,0
771,GAB49KQU,1
772,GEBCXWCU,0
773,JPT2DAGQ,1
774,RXYEGKFP,1
775,4R6HCRNW,0
776,MWRTSE9B,0
777,JAC7FJCA,1
778,5DCT43QX,0
779,GFZMAKDD,0
780,8WVWSZNF,0
781,KCBVOKZ8,1
782,NRCEX3F3,0
783,59KYREQZ,0
784,S2HTHOYG,0
785,98QJA4ZA,0
786,8S27HJRE,0
787,MTEWWARX,0
788,PH8LQUCB,0
789,BYB9URVZ,1
790,3TYYHEQU,0
791,WTOPV47E,1
792,HGNGPJXH,1
793,LE5M9QWH,0
794,7YR3Z54H,0
795,9DLYZCUW,1
796,RKYQQQL5,0
797,5UTFCCXZ,0
798,JCYRCTNE,1
799,AJIVJ4WE,0
800,JTCERL4D,0
801,XWS2DC9M,0
802,TVIX5INS,1
803,CIQZ4NJS,0
804,EJRPJ86R,0
805,HPQBQGWQ,0
806,FR38HJFG,1
807,JPXNNMXQ,1
808,HWED8UBF,1
809,CJ6ILARS,0
810,MBCCSXEA,0
811,4S84NTNM,0
812,ADGV3FDY,0
813,HSAJUCOR,1
814,HHV3JEXF,0
815,DHARALYV,0
816,KBVN65GH,0
817,UYHCQN7W,0
818,9VXSCU6F,0
819,F2DBEMXE,0
820,6VN358PX,0
821,T2J5Y8NB,0
822,HPXJGYEZ,1
823,CS5NAYPP,1
824,2UC6R5XE,1
825,KZ8TKYP4,0
826,Y8XIC3AH,0
827,GCT9PSGP,0
828,MPQQFX4I,0
829,8VCZYPZD,0
830,JCIQPZLE,0
831,AYSUMKSF,0
832,VVAVU9BN,1
833,F3NBRACB,0
834,FPIGVTHX,0
835,X7XNXJVW,0
836,JEKWRXYH,1
837,MNGYZO5U,0
838,FXPCJ7GE,1
839,BUXRB7CD,0
840,JV4MCTHN,0
841,JUFQ5PVJ,1
842,ENLVSM6O,0
843,CJHC43KV,0
844,N4NSCGHE,1
845,FUVHQRWB,0
846,GTQHBCF7,1
847,DSB6DIRV,0
848,BVUKQQRV,0
849,KZCHX6LW,1
850,M5XAM7HE,0
851,YODUTYZU,1
852,JEREISWR,1
853,FTHIZFGT,0
854,7TCFIDRX,0
855,V8CRCBLR,0
856,XEDZWKEX,1
857,RAD4GZKE,0
858,FY8NXMD2,0
859,KVZXQCUM,1
860,JXRP92WY,0
861,IYA3LI6E,0
862,FXEUAUMU,0
863,KXVZ3BNR,0
864,FTDASK8G,1
865,JZQZ7RWM,0
866,HNPMBXDN,0
867,3SUTYK7Z,0
868,EHAW2L37,0
869,H5HWWKTM,0
870,BQVSKRPN,0
871,EUK3CR9A,0
872,VRMGCTGP,0
873,ENDZJZGR,0
874,NSSYQFVN,0
875,7TRWUSYQ,1
876,7Z6JWBCW,0
877,7DR4UVAZ,0
878,H7YECJLG,0
879,CUNTRPMN,1
880,VQQEMTVX,0
881,NWMFKQLZ,0
882,FIUW4SGY,0
883,JCVXZSJS,0
884,VZRUA5XP,1
885,923REBWY,0
886,3FKWHVLC,0
887,V8JTYKKL,0
888,A4MRC8NU,1
889,CQJTCLCJ,1
890,L9O3NMDQ,0
891,7DFWCHAN,0
892,NK7CWSGK,1
893,OLLGNEK9,0
894,KVOLRR62,0
895,KAI7SJGY,1
896,5LYDNC27,0
897,LPGW9PN3,0
898,4WA5JPWP,0
899,GCDXLWAN,0
900,7V6GQUOD,0
901,ENYQCCWM,0
902,B3BUXXA4,0
903,PC7INMMF,1
904,6PJ9NW3X,1
905,DXYC8WIG,1
906,DPKUYNJK,0
907,6ZRSCJ6J,1
908,CPX4EYVB,1
909,T28RFIEL,0
910,D4GXBMM8,0
911,JMQJAZHA,0
912,RZSFMVB9,1
913,T2QWMIDV,1
914,GRM6UHIW,0
915,X2SD7FMK,0
916,I4SENFDI,0
917,YSNU9M3K,1
918,USGXXPJH,1
919,QPQZPSMH,0
920,QPZDTV5V,0
921,H28ZERNP,1
922,UNWHQWCY,0
923,7N8BRMDU,0
924,DFMGCWHV,0
925,8FP6ENF4,1
926,FAO6XGQE,0
927,X5FCJHQ5,0
928,GGFPEVFR,0
929,AP9SCCXC,0
930,WONWP8QB,0
931,CWEKUQ4P,1
932,C5CGJVQZ,1
933,HO4YRWYD,0
934,HLIYGGYA,0
935,QKAJK2VB,1
936,ZEZT2RND,0
937,9AVBPCUN,0
938,EZYK55RU,0
939,XLUTOAMB,0
940,DWU7CKFE,0
941,D6DQQIBU,1
942,QHQJZFZU,1
943,YP9SF5M4,0
944,VMYWFYEL,1
945,4XPSMAPQ,0
946,FKF7TQWV,1
947,FFSKJ4PJ,0
948,5UTEZSAB,0
949,5NKBKDHR,0
950,N3UXDVTF,1
951,5OY8PVUA,0
952,RSDW4ASM,0
953,LH8H3PTS,1
954,CSSGZP9Q,0
955,SKHABGYI,0
956,GFNPT3NG,0
957,CBKXYPE7,0
958,QGXXYFWE,1
959,DTLXTDMB,0
960,XQU9XWRT,0
961,NZMD3FOP,0
962,YHJCEHBM,1
963,P8Q24VFD,0
964,IMF54OGD,0
965,QXTFTJZR,0
966,RMBIAZPU,1
967,9VCZ5LPR,0
968,GSYBHMCW,0
969,X7C7Z2C3,0
970,FPUWSRYS,0
971,XPMQAAKG,0
972,EQ3C2DDV,0
973,WBBAFNBP,1
974,FYH9BSDA,0
975,JWNYLDQ2,0
976,OWYEXKMJ,0
977,PGE7SYWG,0
978,6S8GNM6C,0
979,EVGXQGGW,0
980,G3RBZKVF,0
981,WPRYJTHH,0
982,6PMYO4NW,0
983,4DPCCOT4,0
984,EVHK3KNC,0
985,C25XPJHR,0
986,MRAIW8WJ,0
987,FRHEUMRV,0
988,TDF6TDHD,0
989,MG2YF6UW,1
990,7GX9RWEC,0
991,6LM5QANA,1
992,J3DBQUJR,0
993,2O4EUQUG,1
994,COA38OVH,0
995,NUEETDF8,0
996,BP3FKBPZ,1
997,EEG8PEV4,0
998,G7JWN6JV,0
999,ESSIGXVU,0
1000,8W6YED3T,0
1001,TNCPHB6Z,0
1002,SD3MES8O,0
1003,3C3FBK8X,0
1004,WUMUDSST,0
1005,4DWPAOIX,0
1006,5PRTDKXK,0
1007,HVOBOSSI,0
1008,4WTK9RBR,0
1009,FEAFI9GC,0
1010,EKN8UCSW,1
1011,LEWKD4PA,1
1012,B9JENQDR,0
1013,BGVQQ2QF,1
1014,SKA2MXXX,1
1015,BRGRQGCV,0
1016,FZDUYUZS,0
1017,STHZCZMQ,0
1018,AGWQXYSK,0
1019,ZMXBDAFI,0
1020,7HUWEUJO,0
1021,RNPTWY6J,0
1022,D63CE4JE,0
1023,JWPYWNEU,0
1024,CLU9WQQT,0
1025,NR5WGFN3,0
1026,F8TSYPVA,0
1027,QP2KV4CW,0
1028,GYKEBWCJ,0
1029,F9S9YZME,0
1030,N24NSEQJ,1
1031,IDFGBLIU,1
1032,FBOGFQFB,1
1033,4VB7NFVX,0
1034,R4I3U6WD,0
1035,HNZWV5EM,1
1036,UNFYHUVP,0
1037,GJTTIERJ,0
1038,5MAVNMJX,0
1039,JZ4ZRZTA,0
1040,8NG6UC8R,0
1041,K9OYK83E,1
1042,RB65FVXC,1
1043,D2YB7S8P,0
1044,9PFZ8GSE,0
1045,KE9JE458,0
1046,VO5TK8FH,0
1047,RVXXEWTK,0
1048,MS2BW42V,1
1049,IZ2WTEUM,0
1050,HFSBB5OA,1
1051,I45PNTSC,0
1052,AT8BBNEH,0
1053,LGMCRTXE,0
1054,FLHARRYM,0
1055,D7SKYGEU,0
1056,CDVFVZN7,0
1057,CEWLRR8Y,0
1058,LUCZHK3E,0
1059,CXJPU8PX,0
1060,EEZE8GXQ,0
1061,JTGIKBCV,0
1062,CJHYZVAV,1
1063,BSZZU2BK,1
1064,KSKVJWTS,0
1065,N9BANBOO,0
1066,X4KLM3YU,0
1067,CYFJBWNG,0
1068,JOUCPG5U,0
1069,GQSWAG6M,0
1070,7DQEOUAG,1
1071,HA7JKNHG,0
1072,FF7MPYXR,0
1073,YMS7QOAS,1
